,word,occurrences,percentile
435,等,21405,0.9966291759837133
202,已经,21368,0.9965958014885025
386,几,20893,0.9965624269932917
124,出来,20805,0.996529052498081
90,老,20671,0.9964956780028702
135,比,20408,0.9964623035076594
238,找,20286,0.9964289290124487
802,哪,20278,0.9963955545172379
601,再,20122,0.9963621800220271
280,更,20058,0.9963288055268164
764,应该,19972,0.9962954310316057
1493,嗯,19841,0.9962620565363949
1240,那个,19832,0.9962286820411841
432,两,19703,0.9961953075459734
481,话,19688,0.9961619330507626
366,嘿嘿,19645,0.9961285585555518
1436,系,19498,0.996095184060341
149,快,19497,0.9960618095651304
300,唉,19134,0.9960284350699196
2,哥,19073,0.9959950605747088
251,姐,18744,0.9959616860794981
539,起,18495,0.9959283115842873
767,信,18394,0.9958949370890765
68,回来,18312,0.9958615625938657
865,还有,18040,0.995828188098655
235,懂,17777,0.9957948136034442
48,滴,17772,0.9957614391082334
352,看到,17749,0.9957280646130228
227,不会,17698,0.995694690117812
112,一起,17572,0.9956613156226012
127,玩,17537,0.9956279411273905
157,用,17427,0.9955945666321797
1020,恩,17388,0.9955611921369689
1274,带,17023,0.9955278176417581
18,快乐,16997,0.9954944431465474
264,中,16906,0.9954610686513367
408,阿,16863,0.9954276941561259
501,咯,16747,0.9953943196609152
381,像,16699,0.9953609451657044
304,睡,16523,0.9953275706704936
245,不能,16423,0.9952941961752828
668,事,16381,0.9952608216800721
726,可怜,16101,0.9952274471848613
575,喝,16094,0.9951940726896505
587,请,16075,0.9951440109468345
382,不过,16075,0.9951440109468345
38,美,15943,0.9950939492040183
220,发,15913,0.9950605747088075
947,搞,15842,0.9950272002135968
33,一下,15841,0.994993825718386
391,家,15736,0.9949604512231752
160,只,15539,0.9949270767279645
455,他们,15429,0.9948937022327538
367,明天,15284,0.994860327737543
672,有点,15264,0.9948269532423322
1454,朋友,15075,0.9947935787471215
80,时间,14861,0.9947602042519107
192,微博,14796,0.9947268297566999
1159,您,14755,0.9946934552614892
4,开心,14743,0.9946600807662784
208,因为,14629,0.9946267062710676
1374,哇,14457,0.9945933317758568
603,感觉,14177,0.9945599572806462
433,妈,14113,0.9945265827854354
1900,所以,14101,0.9944932082902246
1324,无,14092,0.9944598337950139
765,问题,14057,0.9944264592998031
887,可,13990,0.9943930848045923
1193,挺,13958,0.9943597103093815
725,一样,13931,0.9943263358141708
666,走,13909,0.9942929613189601
39,一定,13825,0.9942595868237493
416,其实,13820,0.9942262123285386
186,回,13724,0.9941928378333278
203,年,13479,0.994159463338117
437,老师,13334,0.9941260888429062
339,算,13277,0.9940927143476955
221,怕,13262,0.9940593398524847
